"city","routeuid","routeid","subrouteid","direction","sequence","fromstopid","tostopid","distance","updatetime","etl_dtm"
Kaohsiung,KHH11,"11","11",1,9,"10001190582","10001190652",569.42,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,10,"10001190652","10001190892",489.04,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,11,"10001190892","10001190992",216.69,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,12,"10001190992","10001191052",204.39,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,13,"10001191052","10001191102",291.54,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,14,"10001191102","10001123232",263.34,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,15,"10001123232","10001123972",177.53,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,16,"10001123972","10001124892",382.14,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,17,"10001124892","100011942",523.01,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,18,"100011942","100011972",392.68,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,19,"100011972","100011982",265.33,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,20,"100011982","1000111032",245.39,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,21,"1000111032","1000111042",365.64,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,22,"1000111042","1000111052",249.81,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,23,"1000111052","1000111062",252.25,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,24,"1000111062","1000111072",272.2,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,25,"1000111072","1000111102",408.96,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,26,"1000111102","1000111122",228.96,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,27,"1000111122","1000111142",315.63,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,28,"1000111142","1000111232",195.64,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,29,"1000111232","1000111282",176.78,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,30,"1000111282","1000111312",259.11,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,31,"1000111312","1000115532",286.5,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,32,"1000115532","1000115652",296.25,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,33,"1000115652","1000115812",274.01,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,34,"1000115812","1000116082",232.43,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,35,"1000116082","1000116282",153.62,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,36,"1000116282","10001191182",210.83,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,37,"10001191182","10001191252",418.57,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,38,"10001191252","10001191892",1089.47,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,39,"10001191892","100011138922",459.52,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,40,"100011138922","100011852",339.18,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,41,"100011852","100011113052",222.88,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,42,"100011113052","1000111462",271.39,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,43,"1000111462","1000111512",303.22,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,44,"1000111512","100011282",433.85,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,1,,"101111191201",,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,2,"101111191201","101111144601",5826.53,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,3,"101111144601","101111144651",3889.0,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,4,"101111144651","101111144681",1340.02,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,5,"101111144681","101111144731",3743.82,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,6,"101111144731","101111144921",6773.78,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,7,"101111144921","101111145111",16100.3,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,8,"101111145111","101111145181",3944.82,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,9,"101111145181","10111175021",166.09,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,10,"10111175021","101111145201",769.57,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
